matchId,game_id,season,gameDuration,gameMode,gameCreation
EUW1_5656865022,5656865022,12,2129,CLASSIC,1641727643000
EUW1_5650450261,5650450261,12,1255,CLASSIC,1641472720000
EUW1_5649871865,5649871865,12,1055,CLASSIC,1641422387000
EUW1_5649794070,5649794070,12,1398,CLASSIC,1641420031000
EUW1_5649297726,5649297726,12,1630,CLASSIC,1641406278000
EUW1_5628878463,5628878463,11,2381,CLASSIC,1640475028000
EUW1_5628690432,5628690432,11,2837,CLASSIC,1640471487000
EUW1_5628705198,5628705198,11,1130,CLASSIC,1640469837000
EUW1_5624488768,5624488768,11,1210,CLASSIC,1640257658000
EUW1_5624505095,5624505095,11,1397,CLASSIC,1640255498000
EUW1_5622699925,5622699925,11,2461,CLASSIC,1640181118000
EUW1_5622620979,5622620979,11,1974,CLASSIC,1640171492000
EUW1_5622477919,5622477919,11,1962,CLASSIC,1640168994000
EUW1_5620252574,5620252574,11,916,CLASSIC,1640042405000
EUW1_5619233322,5619233322,11,1484,CLASSIC,1640008488000
EUW1_5616987545,5616987545,11,1995,CLASSIC,1639908894000
EUW1_5617033948,5617033948,11,1690,CLASSIC,1639906570000
EUW1_5617001008,5617001008,11,2903,CLASSIC,1639902734000
EUW1_5616571797,5616571797,11,1819,CLASSIC,1639866939000
EUW1_5616237792,5616237792,11,2438,CLASSIC,1639855834000
EUW1_5615376870,5615376870,11,1706,CLASSIC,1639836022000
EUW1_5615300748,5615300748,11,2383,CLASSIC,1639833158000
EUW1_5613720140,5613720140,11,1946,CLASSIC,1639747506000
EUW1_5613770492,5613770492,11,1281,CLASSIC,1639741629000
EUW1_5607354573,5607354573,11,1666,CLASSIC,1639416341000
EUW1_5607277578,5607277578,11,2006,CLASSIC,1639413726000
EUW1_5605723570,5605723570,11,1948,CLASSIC,1639333244000
EUW1_5605520968,5605520968,11,1608,CLASSIC,1639325970000
EUW1_5604380382,5604380382,11,1469,CLASSIC,1639261018000
EUW1_5604343114,5604343114,11,1628,CLASSIC,1639258622000
EUW1_5604290656,5604290656,11,2729,CLASSIC,1639254958000
EUW1_5601764789,5601764789,11,1403,CLASSIC,1639149153000
EUW1_5601750753,5601750753,11,1315,CLASSIC,1639147348000
EUW1_5666490550,5666490550,12,1769,CLASSIC,1642113599000
EUW1_5664229703,5664229703,12,1890,CLASSIC,1642023058000
